,人口
議席,252
北海道,5184287
青森県,1427520
岩手県,1371383
宮城県,1819223
秋田県,1241376
山形県,1225618
福島県,1946077
茨城県,2143551
栃木県,1580021
群馬県,1658909
埼玉県,3866472
千葉県,3366624
東京都,11408071
神奈川県,5472247
新潟県,2360982
富山県,1029695
石川県,1002420
福井県,744230
山梨県,762029
長野県,1956917
岐阜県,1758954
静岡県,3089895
愛知県,5386163
三重県,1543083
滋賀県,889768
京都府,2250087
大阪府,7620480
兵庫県,4667928
奈良県,930160
和歌山県,1042736
鳥取県,568777
島根県,773575
岡山県,1707026
広島県,2436135
山口県,1511448
徳島県,791111
香川県,907897
愛媛県,1418124
高知県,786882
福岡県,4027416
佐賀県,838468
長崎県,1570245
熊本県,1700229
大分県,1155566
宮崎県,1051105
鹿児島県,1729150
沖縄県,945111
