,北海道,東北,北関東,南関東,東京都,北陸信越,東海,近畿,中国,四国,九州
定数,8,14,20,22,17,11,21,29,11,6,21
自民,744748,1265372,2034586,2321609,1847986,1122585,2147672,2442006,1183903,547185,2001264
民主,688922,863539,1049602,1203572,939795,690721,1491764,1047361,529819,326803,944093
維新,247342,499437,816014,1053221,816047,432249,964240,2202932,394306,200882,756029
公明,307534,431169,868102,875712,700127,293194,804089,1236217,516892,247776,1033424
共産,302251,379811,686893,813634,885927,315071,618695,1084154,285224,158848,532454
次世代,38342,71026,167632,236596,253107,58361,147080,175279,109016,44515,113965
社民,53604,131857,109038,132542,129992,99242,128131,124494,65349,33257,306935
生活,0,181487,131013,175431,156170,75981,106346,97398,0,0,104895
改革,0,0,0,0,16597,0,0,0,0,0,0
幸福,12267,18201,24989,24052,17648,19619,41429,35830,18015,10762,37299
支持なし,104854,0,0,0,0,0,0,0,0,0,0
