,北海道,東北,北関東,南関東,東京都,北陸信越,東海,近畿,中国,四国,九州
定数,8,14,20,22,17,11,21,29,11,6,21
民主,1348318,2433836,3172577,3695159,2839081,2007770,3864328,4733415,1704242,973038,3073035
自民,805895,1491761,1945933,2233560,1764696,1333082,2182422,2592451,1388451,719594,2352372
公明,354886,516688,855134,862427,717199,333084,891158,1449170,555552,293204,1225505
共産,241345,315201,471138,601299,665462,274816,486974,1067443,244761,150171,425276
社民,113562,316635,274030,369754,299032,225992,264957,411092,156291,94558,480257
みんな,0,241445,597025,605358,419903,0,404411,465591,0,0,271466
国民,0,0,99354,102992,86046,240333,130212,169380,208208,0,183242
日本,0,0,68191,79792,100381,73614,72485,133708,0,0,0
大地,433122,0,0,0,0,0,0,0,0,0,0
幸福,20276,36295,46867,44162,35667,32312,57222,80529,32319,19507,54231
改革,0,0,0,0,0,0,0,58141,0,0,0
本質,7399,0,0,0,0,0,0,0,0,0,0
