,人口
議席,250
北海道,2359183
青森県,756454
岩手県,845540
宮城県,961768
秋田県,898537
山形県,968925
福島県,1362750
茨城県,1350400
栃木県,1046479
群馬県,1052610
埼玉県,1319533
千葉県,1336155
東京都,3699428
神奈川県,1323390
新潟県,1776474
富山県,724276
石川県,747360
福井県,599155
山梨県,583453
長野県,1562722
岐阜県,1070407
静岡県,1550387
愛知県,2089762
三重県,1069270
滋賀県,651050
京都府,1287147
大阪府,2587847
兵庫県,2301799
奈良県,564607
和歌山県,750411
鳥取県,454675
島根県,714712
岡山県,1217698
広島県,1541905
山口県,1041013
徳島県,670212
香川県,677852
愛媛県,1046720
高知県,670895
福岡県,2188249
佐賀県,673895
長崎県,1136182
熊本県,1233233
大分県,860282
宮崎県,651097
鹿児島県,1415582
沖縄県,571572
